model_id,fixture_id,outcome,format_variant,base_task_id
ollama-devstral,v3-audit-log-pii-mask--embed-neutral,pass,embedded-neutral,v3-audit-log-pii-mask
ollama-devstral,v3-audit-log-pii-mask--embed-prod,pass,embedded-production,v3-audit-log-pii-mask
ollama-devstral,v3-audit-log-pii-mask--short,pass,short,v3-audit-log-pii-mask
ollama-devstral,v3-coupon-stack-refactor--embed-neutral,pass,embedded-neutral,v3-coupon-stack-refactor
ollama-devstral,v3-coupon-stack-refactor--embed-prod,pass,embedded-production,v3-coupon-stack-refactor
ollama-devstral,v3-coupon-stack-refactor--short,pass,short,v3-coupon-stack-refactor
ollama-devstral,v3-cron-next-run-dst--embed-neutral,pass,embedded-neutral,v3-cron-next-run-dst
ollama-devstral,v3-cron-next-run-dst--embed-prod,pass,embedded-production,v3-cron-next-run-dst
ollama-devstral,v3-cron-next-run-dst--short,pass,short,v3-cron-next-run-dst
ollama-devstral,v3-currency-round-refactor--embed-neutral,pass,embedded-neutral,v3-currency-round-refactor
ollama-devstral,v3-currency-round-refactor--embed-prod,pass,embedded-production,v3-currency-round-refactor
ollama-devstral,v3-currency-round-refactor--short,pass,short,v3-currency-round-refactor
ollama-devstral,v3-inventory-hold-release--embed-neutral,pass,embedded-neutral,v3-inventory-hold-release
ollama-devstral,v3-inventory-hold-release--embed-prod,pass,embedded-production,v3-inventory-hold-release
ollama-devstral,v3-inventory-hold-release--short,pass,short,v3-inventory-hold-release
ollama-devstral,v3-loyalty-points-fifo-expiry--embed-neutral,pass,embedded-neutral,v3-loyalty-points-fifo-expiry
ollama-devstral,v3-loyalty-points-fifo-expiry--embed-prod,pass,embedded-production,v3-loyalty-points-fifo-expiry
ollama-devstral,v3-loyalty-points-fifo-expiry--short,pass,short,v3-loyalty-points-fifo-expiry
ollama-devstral,v3-room-booking-conflict--embed-neutral,pass,embedded-neutral,v3-room-booking-conflict
ollama-devstral,v3-room-booking-conflict--embed-prod,pass,embedded-production,v3-room-booking-conflict
ollama-devstral,v3-room-booking-conflict--short,pass,short,v3-room-booking-conflict
ollama-devstral,v3-token-bucket-burst--embed-neutral,pass,embedded-neutral,v3-token-bucket-burst
ollama-devstral,v3-token-bucket-burst--embed-prod,pass,embedded-production,v3-token-bucket-burst
ollama-devstral,v3-token-bucket-burst--short,pass,short,v3-token-bucket-burst
ollama-devstral,v3-waitlist-promotion--embed-neutral,pass,embedded-neutral,v3-waitlist-promotion
ollama-devstral,v3-waitlist-promotion--embed-prod,pass,embedded-production,v3-waitlist-promotion
ollama-devstral,v3-waitlist-promotion--short,pass,short,v3-waitlist-promotion
ollama-devstral,v3-zone-shipping-cost--embed-neutral,pass,embedded-neutral,v3-zone-shipping-cost
ollama-devstral,v3-zone-shipping-cost--embed-prod,pass,embedded-production,v3-zone-shipping-cost
ollama-devstral,v3-zone-shipping-cost--short,pass,short,v3-zone-shipping-cost
